Package,LibPath,Version,Priority,Built
askpass,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.1,NA,4.2.0
assertthat,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.2.1,NA,4.2.0
backports,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.4.1,NA,4.2.0
base,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,4.2.1,base,4.2.1
base64enc,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.1-3,NA,4.2.0
bit,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,4.0.4,NA,4.2.0
bit64,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,4.0.5,NA,4.2.0
blob,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.2.3,NA,4.2.0
boot,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.3-28,recommended,4.2.1
brew,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.0-7,NA,4.2.0
brio,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.1.3,NA,4.2.0
broom,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.0.0,NA,4.2.0
bslib,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.4.0,NA,4.2.0
cachem,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.0.6,NA,4.2.0
callr,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,3.7.1,NA,4.2.0
cellranger,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.1.0,NA,4.2.0
class,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,7.3-20,recommended,4.2.1
cli,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,3.3.0,NA,4.2.0
clipr,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.8.0,NA,4.2.0
cluster,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.1.3,recommended,4.2.1
codetools,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.2-18,recommended,4.2.1
colorspace,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.0-3,NA,4.2.0
commonmark,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.8.0,NA,4.2.0
compiler,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,4.2.1,base,4.2.1
cpp11,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.4.2,NA,4.2.0
crayon,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.5.1,NA,4.2.0
credentials,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.3.2,NA,4.2.0
curl,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,4.3.2,NA,4.2.0
data.table,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.14.2,NA,4.2.0
datasets,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,4.2.1,base,4.2.1
DBI,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.1.3,NA,4.2.0
dbplyr,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.2.1,NA,4.2.0
desc,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.4.1,NA,4.2.0
devtools,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.4.4,NA,4.2.0
diffobj,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.3.5,NA,4.2.0
digest,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.6.29,NA,4.2.0
downlit,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.4.2,NA,4.2.0
dplyr,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.0.9,NA,4.2.0
dtplyr,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.2.1,NA,4.2.0
ellipsis,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.3.2,NA,4.2.0
evaluate,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.15,NA,4.2.0
fansi,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.0.3,NA,4.2.0
farver,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.1.1,NA,4.2.0
fastmap,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.1.0,NA,4.2.0
fontawesome,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.3.0,NA,4.2.0
forcats,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.5.1,NA,4.2.0
foreign,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.8-82,recommended,4.2.1
fs,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.5.2,NA,4.2.0
gargle,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.2.0,NA,4.2.0
generics,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.1.3,NA,4.2.0
gert,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.6.0,NA,4.2.0
ggplot2,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,3.3.6,NA,4.2.0
gh,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.3.0,NA,4.2.0
gitcreds,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.1.1,NA,4.2.0
glue,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.6.2,NA,4.2.0
googledrive,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.0.0,NA,4.2.0
googlesheets4,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.0.0,NA,4.2.0
graphics,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,4.2.1,base,4.2.1
grDevices,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,4.2.1,base,4.2.1
grid,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,4.2.1,base,4.2.1
gtable,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.3.0,NA,4.2.0
haven,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.5.0,NA,4.2.0
here,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.0.1,NA,4.2.0
highr,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.9,NA,4.2.0
hms,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.1.1,NA,4.2.0
htmltools,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.5.3,NA,4.2.0
htmlwidgets,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.5.4,NA,4.2.0
httpuv,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.6.5,NA,4.2.0
httr,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.4.3,NA,4.2.0
ids,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.0.1,NA,4.2.0
ini,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.3.1,NA,4.2.0
isoband,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.2.5,NA,4.2.0
jquerylib,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.1.4,NA,4.2.0
